,Min,Max,Mean,STD,1st quartile,median,3rd quartile,number_of_tickers,Sampled stocks,fraction_of_sampled_tickers,date start,number_of_days,normalize_on_s_and_p_500
0,-7.545184647204111,36.43055698770968,0.3460513163637141,1.0,0.0216664516713633,0.1978668109638465,0.5597073140403236,100,100,0.2,2020-04-27,28,False
1,-4.935332029107073,94.698330229562,0.0753851192982549,1.0,0.0029408491214911,0.0431709860950932,0.1112251734474149,100,100,0.2,2020-09-21 00:00:00,28,False
2,-2.790612825274547,12.750659736562948,1.2401778773280931,1.0,0.5882670077190417,1.18302310478,1.7417536852644968,100,100,0.2,2020-02-16 00:00:00,28,False
3,-9.625595644857247,24.790786326802728,0.0195662086543315,1.0,-0.1205999893997454,0.0108135141759418,0.1246999921840645,50,50,0.1,2020-02-14 00:00:00,7,True
4,-5.303783314170675,24.289718237705017,0.0368168726242719,1.0,-0.1565136480295633,0.0163610752482309,0.1399350081384991,50,50,0.1,2020-11-13 00:00:00,7,True
5,-11.921177783939957,39.218366786947,0.0355132328716224,1.0,-0.1054246098469339,0.0360633340953085,0.1777439569608794,50,50,0.1,2020-09-25 00:00:00,7,True
6,-7.602518290520422,40.11627100020276,0.1546022025798242,1.0,-0.0469051019189986,0.0763584700462676,0.2486416060044622,50,50,0.1,2020-05-19 00:00:00,7,False
7,-6.976329118624775,44.020689260405554,0.0435285460256518,1.0,-0.0311720657349938,0.0008418398589191,0.0381236646302058,50,50,0.1,2020-12-24 00:00:00,7,False
8,-5.68308104744258,20.33009410268432,0.0480470461779473,1.0,-0.1322793506484414,0.0079458146120835,0.2135709510064882,50,50,0.1,2020-09-06 00:00:00,7,False
9,-7.297061744134309,12.80841837703411,0.1427699848873407,1.0,-0.2300791143335373,0.0108828984016398,0.3246180089141596,50,50,0.2,2020-04-27 00:00:00,7,True
10,-6.999642679603166,17.72891000638358,0.0249140007811473,1.0,-0.3102567970797314,0.0170049607239283,0.3435535862364562,50,50,0.2,2020-06-25 00:00:00,7,True
11,-11.924406763823566,32.32960504773705,0.1347671888415604,1.0,-0.0886795403998026,0.0971588872026332,0.3024685837657828,50,50,0.2,2020-02-25 00:00:00,7,True
12,-9.528367283865316,19.49650495491024,0.3142962751544345,1.0,0.0016670930410464,0.1453159048960908,0.4808893722287827,50,50,0.2,2020-09-19 00:00:00,7,False
13,-5.8181667881147945,45.99880788265412,0.097882343068512,1.0,-0.0098814445849,0.0716438921739934,0.1704143998557223,50,50,0.2,2020-06-17 00:00:00,7,False
14,-8.95922741886618,38.484310169521535,0.077897426509138,1.0,-0.0338737097992954,0.0423715496932165,0.1753748208787512,50,50,0.2,2020-08-28 00:00:00,7,False
15,-3.639887866564612,12.0672893389494,0.1927369864594826,1.0,-0.1925945180142326,0.1446263905953575,0.519330624791249,50,50,0.1,2020-09-02 00:00:00,14,True
16,-8.78113571616341,37.908539089754925,0.1113390251331356,1.0,-0.1028884728347806,0.0405247137940454,0.2530750386727435,50,50,0.1,2020-04-20 00:00:00,14,True
